"Setting","Status","TotalRefs","NonUiRefs","TopNonUiFiles"
"aiAssistantEnabled","WIRED","23","14",".\lib\core\services\security_ai_service.dart (7); .\lib\core\services\report_builder.dart (2); .\lib\features\router\router_iot_card.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\core\services\scan_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"aiDetectUnnecessaryServices","WIRED","15","6",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\security_ai_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"aiExplainVuln","WIRED","15","6",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\security_ai_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"aiOneClickFix","WIRED","15","6",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\security_ai_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"aiProactiveWarnings","WIRED","15","6",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\security_ai_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"aiRiskScoring","WIRED","16","7",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\scan_service.dart (1); .\lib\core\services\security_ai_service.dart (1)"
"aiRouterHardening","WIRED","15","6",".\lib\core\services\report_builder.dart (2); .\lib\features\dashboard\dashboard_screen.dart (1); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\security_ai_service.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"alertArpSpoof","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"alertMacChange","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"alertNewDevice","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"alertPortScanAttempts","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"alertSensitivity","WIRED","12","1",".\lib\core\services\alert_rules_engine.dart (1)"
"alertSilentMode","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\in_app_notifier.dart (1)"
"alertSoundEnabled","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\in_app_notifier.dart (1)"
"alertVibrationEnabled","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\in_app_notifier.dart (1)"
"anonymousUsageAnalytics","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"appLanguageIndex","UI_ONLY","1","0",""
"appThemeIndex","WIRED","2","1",".\lib\main.dart (1)"
"autoClearScan","WIRED","4","4",".\lib\core\services\scan_service.dart (3); .\lib\core\services\toggle_wiring_registry.dart (1)"
"autoDetectLocalNetwork","WIRED","5","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"autoScanOnLaunch","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"autoStartOnBoot","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"autoUpdateApp","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"betaBehaviourThreatDetection","WIRED","14","5",".\lib\core\services\report_builder.dart (3); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
